state,house,district,label,date,total,rep,dem
virginia,upper,10,VA-U10,1/7/25,20828,12027,8775
virginia,upper,32,VA-U32,1/7/25,30493,11629,18825
virginia,lower,26,VA-L26,1/7/25,10281,3857,6404
iowa,upper,35,IA-U35,1/28/25,9305,4474,4812
delaware,upper,1,DE-U1,2/15/25,2857,525,2269
delaware,upper,5,DE-U5,2/15/25,3210,1044,2166
connecticut,upper,21,CT-U21,2/25/25,12789,6839,5950
connecticut,lower,40,CT-L40,2/25/25,2299,716,1583
maine,lower,24,ME-L24,2/25/25,1997,566,1431
