state,house,district,label,date,total,rep,dem,harris,trump,total_2024,special_margin,pres_margin,turnout_change,margin_change
virginia,upper,010,VA-U10,2025-01-07,20828,12027,8775,49334,85709,136849,-15.613597080852703,-26.580391526426933,-84.78030530000218,10.96679444557423
virginia,upper,032,VA-U32,2025-01-07,30493,11629,18825,66234,42114,112898,23.59885875446824,21.36441743875002,-72.99066413931159,2.234441315718218
virginia,lower,026,VA-L26,2025-01-07,10281,3857,6404,24984,15736,42493,24.77385468339655,21.763584590403127,-75.8054267761749,3.010270092993423
iowa,upper,035,IA-U35,2025-01-28,9305,4474,4812,12952,20045,33600,3.632455668995166,-21.11011904761905,-72.30654761904762,24.742574716614218
delaware,upper,001,DE-U1,2025-02-15,2857,525,2269,18403,6581,25388,61.043052152607636,46.565306443989286,-88.74665196155664,14.47774570861835
delaware,upper,005,DE-U5,2025-02-15,3210,1044,2166,15802,8085,24303,34.95327102803738,31.753281487882152,-86.79175410443155,3.199989540155226
connecticut,upper,021,CT-U21,2025-02-25,12789,6839,5950,28578,28894,58255,-6.951286261631084,-0.5424427087803607,-78.04651961205047,-6.4088435528507235
connecticut,lower,040,CT-L40,2025-02-25,2299,716,1583,5900,3723,9818,37.7120487168334,22.173558769606842,-76.5838256264005,15.538489947226559
maine,lower,024,ME-L24,2025-02-25,1997,566,1431,4348,2006,6576,43.314972458688025,35.614355231143556,-69.63199513381994,7.70061722754447
